"Laps","Time","Cumulative Time","Distancekm","Avg Pacemin/km","Avg GAPmin/km","Avg HRbpm","Max HRbpm","Total Ascentm","Total Descentm","Avg PowerW","Avg W/kg","Max PowerW","Max W/kg","Avg Run Cadencespm","Avg Ground Contact Timems","Avg GCT Balance%","Avg Stride Lengthm","Avg Vertical Oscillationcm","Avg Vertical Ratio%","CaloriesC","Avg Temperature","Best Pacemin/km","Max Run Cadencespm","Moving Time","Avg Moving Pacemin/km","Avg Step Speed Losscm/s","Avg Step Speed Loss Percent%"
"1","5:58,1","5:58,1","1,00","5:58","--","127","141","26","2","--","--","--","--","171","--","--","0,98","--","--","76","23,0","5:41","189","5:56","5:56","--","--"
"2","6:07,4","12:06","1,00","6:07","--","129","143","15","40","--","--","--","--","174","--","--","0,94","--","--","70","21,0","5:26","186","6:06","6:06","--","--"
"3","6:40,9","18:46","1,00","6:41","--","131","147","35","20","--","--","--","--","168","--","--","0,89","--","--","74","20,0","5:29","178","6:32","6:32","--","--"
"4","6:28,9","25:15","1,00","6:29","--","137","152","35","34","--","--","--","--","170","--","--","0,91","--","--","72","19,0","6:00","182","6:28,9","6:29","--","--"
"5","6:32,6","31:48","1,00","6:33","--","133","143","15","8","--","--","--","--","168","--","--","0,91","--","--","66","18,0","5:46","180","6:24","6:24","--","--"
"6","4:49,0","36:37","0,71","6:48","--","143","149","27","0","--","--","--","--","172","--","--","0,85","--","--","60","17,0","6:20","174","4:49","6:48","--","--"
"Summary","36:37","36:37","5,89","6:13","--","133","152","155","105","--","--","--","--","170","--","--","0,92","--","--","418","19,7","5:26","189","36:16","6:09","--","--"
